Title,Old Price,Discounted Price,Discount %,Link,Promo Note
Pepsi Max Soft Drink Cola Max 1.5L,4.49,2.99,33.4,https://www.woolworths.co.nz/shop/product-details/271600/pepsi-max-soft-drink-cola-max,
Colgate Triple Action Toothpaste Original Mint Flavour 110g,3.99,3.29,17.5,https://www.woolworths.co.nz/shop/product-details/248887/colgate-triple-action-toothpaste-original-mint-flavour,SAVE $0.70
Tuffy Paper Towels Print 2 Pack,4.2,2.5,40.5,https://www.woolworths.co.nz/shop/product-details/264590/tuffy-paper-towels-print,SAVE $1.70
Farmer Brown Eggs Cage Free Barn Size 7 12 Pack,10.29,8.4,18.4,https://www.woolworths.co.nz/shop/product-details/52242/farmer-brown-eggs-cage-free-barn-size-7,SAVE $1.89
Wattie's Frozen Meal Macaroni Cheese 270g,6.3,3.59,43.0,https://www.woolworths.co.nz/shop/product-details/270003/wattie-s-frozen-meal-macaroni-cheese,
Copper Kettle Chips Sea Salt 150g,5.2,2.99,42.5,https://www.woolworths.co.nz/shop/product-details/267944/copper-kettle-chips-sea-salt,
Beak & Sons Pork Ribs Hickory BBQ Min order 1kg 1kg,24.49,22,10.2,https://www.woolworths.co.nz/shop/product-details/671102/beak-sons-pork-ribs-hickory-bbq-min-order-1kg,SAVE $2.49
Cadbury Chocolate Bar Perky Nana 45g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/266898/cadbury-chocolate-bar-perky-nana,SAVE $1.30
Whittaker's Chocolate Dark 50% 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/266966/whittaker-s-chocolate-dark-50,SAVE $1.00
Hellers Sausages Genuine Pork 6 Pack,10.49,8.9,15.2,https://www.woolworths.co.nz/shop/product-details/791924/hellers-sausages-genuine-pork,SAVE $1.59
M&M's Chocolate Milk Chocolate 180g,7.59,4.5,40.7,https://www.woolworths.co.nz/shop/product-details/460247/m-m-s-chocolate-milk-chocolate,SAVE $3.09
Meadow Fresh Kalo Yoghurt Tub Greek 800g,9.65,8.65,10.4,https://www.woolworths.co.nz/shop/product-details/666411/meadow-fresh-kalo-yoghurt-tub-greek,SAVE $1.00
Maggi 2-Minute Instant Noodles Chicken Cup 60g,2.19,1.95,11.0,https://www.woolworths.co.nz/shop/product-details/224905/maggi-2-minute-instant-noodles-chicken-cup,
Bouton D'or Feta Cheese 200g,5.99,5.39,10.0,https://www.woolworths.co.nz/shop/product-details/281755/bouton-d-or-feta-cheese,SAVE $0.60
Ceres Organics Snack Mix Seaweed 2g 8 Pack,6.99,6.2,11.3,https://www.woolworths.co.nz/shop/product-details/726442/ceres-organics-snack-mix-seaweed-2g,SAVE $0.79
Arnott's Shapes Crackers Pizza Originals 190g,3.99,2.99,25.1,https://www.woolworths.co.nz/shop/product-details/515173/arnott-s-shapes-crackers-pizza-originals,
Country Soft Spread 500g,5.5,4.69,14.7,https://www.woolworths.co.nz/shop/product-details/372336/country-soft-spread,
Leggo's Pasta Sauce Bolognese 500g,5.29,3.99,24.6,https://www.woolworths.co.nz/shop/product-details/450687/leggo-s-pasta-sauce-bolognese,
Sprite Lemonade Lemon Lime No Sugar 30 Pack,35.99,26.99,25.0,https://www.woolworths.co.nz/shop/product-details/659992/sprite-lemonade-lemon-lime-no-sugar,
Wattie's Tomato Sauce 575g,5,4,20.0,https://www.woolworths.co.nz/shop/product-details/270378/wattie-s-tomato-sauce,
The Natural Chip Co Corn Snacks Veggie Straws Sour Cream 65g 5 Pack,4.19,3.5,16.5,https://www.woolworths.co.nz/shop/product-details/279893/the-natural-chip-co-corn-snacks-veggie-straws-sour-cream-65g,
Chelsea White Sugar 500g,2.49,2.1,15.7,https://www.woolworths.co.nz/shop/product-details/266506/chelsea-white-sugar,SAVE $0.39
Woolworths Chicken Whole 1.9kg,17.5,15.5,11.4,https://www.woolworths.co.nz/shop/product-details/703409/woolworths-chicken-whole,SAVE $2.00
Sprite Lemonade Lemon Lime No Sugar 2.25L,5.39,3.79,29.7,https://www.woolworths.co.nz/shop/product-details/271636/sprite-lemonade-lemon-lime-no-sugar,
Woolworths Burger Buns Sesame 6 Pack,4,3.6,10.0,https://www.woolworths.co.nz/shop/product-details/324761/woolworths-burger-buns-sesame,SAVE $0.40
Purex Toilet Tissue White Mega Long 2 Ply,9.29,8.35,10.1,https://www.woolworths.co.nz/shop/product-details/6051661/purex-toilet-tissue-white-mega-long-2-ply,SAVE $0.94
Mainland Cheese Colby 1kg,18.95,15.99,15.6,https://www.woolworths.co.nz/shop/product-details/48211/mainland-cheese-colby,SAVE $2.96
Pic's Peanut Butter Crunchy 380g,7.79,3.89,1,https://www.woolworths.co.nz/shop/product-details/360257/pic-s-peanut-butter-crunchy,
Coca-Cola Soft Drink 30 Pack,35.99,26.99,25.0,https://www.woolworths.co.nz/shop/product-details/659936/coca-cola-soft-drink,
Sunlight Dishwash Liquid Apple 500mL,3.09,1.79,42.1,https://www.woolworths.co.nz/shop/product-details/307938/sunlight-dishwash-liquid-apple,SAVE $1.30
Up&Go Protein Liquid Breakfast Choc Hit Fridge Pack 250mL,21.49,18.99,11.6,https://www.woolworths.co.nz/shop/product-details/768911/up-go-protein-liquid-breakfast-choc-hit-fridge-pack,
Chesdale Cheese Slices Cheddar 250g,4.99,3.9,21.8,https://www.woolworths.co.nz/shop/product-details/281903/chesdale-cheese-slices-cheddar,SAVE $1.09
Wattie's Hash Bites 700g,6.89,6.2,10.0,https://www.woolworths.co.nz/shop/product-details/122372/wattie-s-hash-bites,
Nestle Highlander Condensed Milk Sweetened 395g,4.89,4.2,14.1,https://www.woolworths.co.nz/shop/product-details/269645/nestle-highlander-condensed-milk-sweetened,
Olivani Spread Lite 500g,6.99,4.99,28.6,https://www.woolworths.co.nz/shop/product-details/284601/olivani-spread-lite,
Maltesers Chocolate Original 140g,7.59,4.5,40.7,https://www.woolworths.co.nz/shop/product-details/460245/maltesers-chocolate-original,SAVE $3.09
Best Foods Mayonnaise Real 340mL,6.9,5.9,14.5,https://www.woolworths.co.nz/shop/product-details/577209/best-foods-mayonnaise-real,SAVE $1.00
Otaika Valley Eggs Free Range Mixed Grade 6 Pack,6.5,4.9,24.6,https://www.woolworths.co.nz/shop/product-details/277273/otaika-valley-eggs-free-range-mixed-grade,SAVE $1.60
McCain Pizza Family BBQ Meatlovers 500g,8.79,6.39,27.3,https://www.woolworths.co.nz/shop/product-details/81804/mccain-pizza-family-bbq-meatlovers,
Hellers Sausages Precooked Chunky Cheese 1kg pack,,13.49,,https://www.woolworths.co.nz/shop/product-details/290811/hellers-sausages-precooked-chunky-cheese,2 for $20.00
McCain Corn Kernels Super Juicy 500g,4.3,2.99,30.5,https://www.woolworths.co.nz/shop/product-details/90838/mccain-corn-kernels-super-juicy,
Handee Paper Towels Ultra 4 Pack,8.8,6.99,20.6,https://www.woolworths.co.nz/shop/product-details/540336/handee-paper-towels-ultra,SAVE $1.81
Arnott's Scoth Fingers Chocolate Biscuits 250g,4.49,3.99,11.1,https://www.woolworths.co.nz/shop/product-details/46808/arnott-s-scoth-fingers-chocolate-biscuits,SAVE $0.50
Woolworths NZ Butterflied Chicken Garlic & Herb 1.1kg,13.7,12.3,10.2,https://www.woolworths.co.nz/shop/product-details/322362/woolworths-nz-butterflied-chicken-garlic-herb,SAVE $1.40
Cinderella Mango Dried 125g,5.89,4.29,27.2,https://www.woolworths.co.nz/shop/product-details/785785/cinderella-mango-dried,SAVE $1.60
M&M's Chocolate Peanut 180g,7.59,4.5,40.7,https://www.woolworths.co.nz/shop/product-details/460570/m-m-s-chocolate-peanut,SAVE $3.09
Fry's Chocolate Bar Turkish Delight 50g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/612308/fry-s-chocolate-bar-turkish-delight,SAVE $1.30
Beak & Sons Pork Ribs Chinese BBQ 1kg,24.49,22,10.2,https://www.woolworths.co.nz/shop/product-details/671107/beak-sons-pork-ribs-chinese-bbq,SAVE $2.49
Griffin's Biscuits Superwine 250g,4.19,2.99,28.6,https://www.woolworths.co.nz/shop/product-details/271184/griffin-s-biscuits-superwine,
Pascall Marshmallows Pink & White 180g,2.95,1.99,32.5,https://www.woolworths.co.nz/shop/product-details/266937/pascall-marshmallows-pink-white,SAVE $0.96
Ajax Spray N Wipe Kitchen Spray Multipurpose Baking Soda 500mL,5.29,3.99,24.6,https://www.woolworths.co.nz/shop/product-details/204831/ajax-spray-n-wipe-kitchen-spray-multipurpose-baking-soda,SAVE $1.30
So Good Almond Milk Barista Edition Uht 1L,4.59,3.99,13.1,https://www.woolworths.co.nz/shop/product-details/83836/so-good-almond-milk-barista-edition-uht,
Ingham's Chicken Burgers Crunchy Fixx Buttermilk 600g,16.5,14.5,12.1,https://www.woolworths.co.nz/shop/product-details/6003414/ingham-s-chicken-burgers-crunchy-fixx-buttermilk,SAVE $2.00
